theme,url,img,lines,author
COURTESY,/inspirational-quotes/3840-the-small-courtesies-sweeten-life-the-greater,https://assets.passiton.com/quotes/quote_artwork/3840/medium/20240423_tuesday_quote.jpg,"The small courtesies sweeten life; the greater, ennoble it.",<Author:0x00007f0a5201b3b0>
COURTESY,/inspirational-quotes/8117-take-care-be-kind-be-considerate-of-other,https://assets.passiton.com/quotes/quote_artwork/8117/medium/20240422_monday_quote.jpg,"Take care, be kind, be considerate of other people and other species, and be loving.",<Author:0x00007f0a52073dd0>
HELPING OTHERS,/inspirational-quotes/6985-be-a-lamp-or-a-lifeboat-or-a-ladder-help,https://assets.passiton.com/quotes/quote_artwork/6985/medium/20240419_friday_quote.jpg,"Be a lamp, or a lifeboat, or a ladder. Help someone’s soul heal.",<Author:0x00007f0a52061310>
HELPING OTHERS,/inspirational-quotes/8425-the-fastest-route-to-greater-happiness-is,https://assets.passiton.com/quotes/quote_artwork/8425/medium/20240418_thursday_quote.jpg,The fastest route to greater happiness is giving and volunteering.,<Author:0x00007f0a52040c50>
HELPING OTHERS,/inspirational-quotes/4470-an-essential-part-of-a-happy-healthy-life-is,https://assets.passiton.com/quotes/quote_artwork/4470/medium/20240417_wednesday_quote.jpg,"An essential part of a happy, healthy life is being of service to others. ",<Author:0x00007f0a520ad8a0>
HELPING OTHERS,/inspirational-quotes/7235-there-is-no-exercise-better-for-the-heart-than,https://assets.passiton.com/quotes/quote_artwork/7235/medium/20240416_tuesday_quote.jpg,There is no exercise better for the heart than reaching down and lifting people up.,<Author:0x00007f0a52089ef0>
HELPING OTHERS,/inspirational-quotes/3700-great-opportunities-to-help-others-seldom-come,https://assets.passiton.com/quotes/quote_artwork/3700/medium/20240415_monday_quote.jpg,"Great opportunities to help others seldom come, but small ones surround us every day.",<Author:0x00007f0a520e6dd0>
TRUE BEAUTY,/inspirational-quotes/7604-if-you-see-something-beautiful-in-someone,https://assets.passiton.com/quotes/quote_artwork/7604/medium/20240412_friday_quote.jpg,"If you see something beautiful in someone, speak it!",<Author:0x00007f0a520cf900>
TRUE BEAUTY,/inspirational-quotes/7260-beauty-is-not-in-the-face-beauty-is-a-light-in,https://assets.passiton.com/quotes/quote_artwork/7260/medium/20240411_thursday_quote.jpg,Beauty is not in the face; beauty is a light in the heart.,<Author:0x00007f0a520bcee0>
TRUE BEAUTY,/inspirational-quotes/7603-i-cant-think-of-any-better-representation-of,https://assets.passiton.com/quotes/quote_artwork/7603/medium/20240410_wednesday_quote.jpg,I can't think of any better representation of beauty than someone who is unafraid to be herself.,<Author:0x00007f0a5218de50>
TRUE BEAUTY,/inspirational-quotes/7540-the-sign-of-a-beautiful-person-is-that-they,https://assets.passiton.com/quotes/quote_artwork/7540/medium/20240409_tuesday_quote.jpg,The sign of a beautiful person is that they always see beauty in others.,<Author:0x00007f0a520f61e0>
TRUE BEAUTY,/inspirational-quotes/7746-beauty-begins-the-moment-you-decide-to-be,https://assets.passiton.com/quotes/quote_artwork/7746/medium/20240408_monday_quote.jpg,Beauty begins the moment you decide to be yourself.,<Author:0x00007f0a521db330>
CHARITY,/inspirational-quotes/8424-be-good-for-something-while-you-live-and-it-is,https://assets.passiton.com/quotes/quote_artwork/8424/medium/20240405_friday_quote.jpg,Be good for something while you live and it is in your power.,<Author:0x00007f0a521bd4c0>
CHARITY,/inspirational-quotes/7849-the-unselfish-effort-to-bring-cheer-to-others,https://assets.passiton.com/quotes/quote_artwork/7849/medium/20240404_thursday_quote.jpg,The unselfish effort to bring cheer to others will be the beginning of a happier life for ourselves.,<Author:0x00007f0a52223658>
